#Reference: Warren, S. G., and R. E. Brandt (2008), Optical constants of ice from the ultraviolet to the microwave: A revised compilation.
#J. Geophys. Res., 113, D14220, doi:10.1029/2007JD009744. PDF link
#wavelength    real_index   imaginary_index
#micrometers
9.100E-001    1.3030  4.440E-007
9.200E-001    1.3028  4.740E-007
9.300E-001    1.3027  5.110E-007
9.400E-001    1.3025  5.530E-007
9.500E-001    1.3023  6.020E-007
9.600E-001    1.3022  7.550E-007
9.700E-001    1.3020  9.260E-007
9.800E-001    1.3019  1.120E-006
9.900E-001    1.3017  1.330E-006
1.000E+000    1.3015  1.620E-006
1.010E+000    1.3014  2.000E-006
1.020E+000    1.3012  2.250E-006
1.030E+000    1.3010  2.330E-006
1.040E+000    1.3009  2.330E-006
1.050E+000    1.3007  2.170E-006
1.060E+000    1.3005  1.960E-006
1.070E+000    1.3003  1.810E-006
1.080E+000    1.3002  1.740E-006
1.090E+000    1.3000  1.730E-006
1.100E+000    1.2998  1.700E-006
1.110E+000    1.2997  1.760E-006
1.120E+000    1.2995  1.820E-006
1.130E+000    1.2993  2.040E-006
1.140E+000    1.2991  2.250E-006
1.150E+000    1.2990  2.290E-006
1.160E+000    1.2988  3.040E-006
1.170E+000    1.2986  3.840E-006
1.180E+000    1.2984  4.770E-006
1.190E+000    1.2982  5.760E-006
1.200E+000    1.2980  6.710E-006
